Mjesto,Ulica,Adresa ključ,Preostalo CIJEPANO m3,Isporučeno CIJEPANO m3,Preostalo U DUGOM m3,Isporučeno U DUGOM m3,Preostalo RVI m3,Isporučeno RVI m3,Preostalo PORODICE ŠEHIDA m3,Isporučeno PORODICE ŠEHIDA m3,Preostalo SINDIKAT m3,Isporučeno SINDIKAT m3,Preostalo ukupno m3,Adresa za kartu,Lat,Lng
Bosanska Krupa,Maršala Tita,Bosanska Krupa|MARSALA TITA,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Maršala Tita, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Kutanja,Bosanska Krupa|KUTANJA,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kutanja, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Johovica,Bosanska Krupa|JOHOVICA,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Johovica, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Krčevine,Bosanska Krupa|KRCEVINE,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Krčevine, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Rasima Redžića,Bosanska Krupa|RASIMA REDZICA,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rasima Redžića, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Podgrmečka,Bosanska Krupa|PODGRMECKA,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Podgrmečka, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Trg Alije Izetbegović,Bosanska Krupa|TRG ALIJE IZETBEGOVIC,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,"Trg Alije Izetbegović, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Vahida Maglajlić,Bosanska Krupa|VAHIDA MAGLAJLIC,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vahida Maglajlić, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Vranjska,Bosanska Krupa|VRANJSKA,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Vranjska, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Zalin(alijagići),Bosanska Krupa|ZALIN ALIJAGICI,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Zalin(alijagići), Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Krupa,Ustikolna,Bosanska Krupa|USTIKOLNA,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ustikolna, Bosanska Krupa, Bosna i Hercegovina",,
Bosanska Otoka,Ljusina,Bosanska Otoka|LJUSINA,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ljusina, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Međumostovi,Bosanska Otoka|MEDUMOSTOVI,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Međumostovi, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Crkvina,Bosanska Otoka|CRKVINA,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,"Crkvina, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Kutanja,Bosanska Otoka|KUTANJA,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kutanja, Bosanska Otoka, Bosna i Hercegovina",,
Bosanska Otoka,Radnička,Bosanska Otoka|RADNICKA,0.0,10.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Radnička, Bosanska Otoka, Bosna i Hercegovina",,
